"Year,","Month,","Mon_Anomaly,","Mon_Unc.,","Ann_Anomaly,","Ann_Unc.,","Fiv_Anomaly,","Fiv_Unc.,","Ten_Anomaly,","Ten_Unc.,","Twe_Anomaly,",Twe_Unc.
1841,1,-1.104,2.463,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1841,2,-1.027,1.922,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1841,3,-2.184,2.455,-1.293,0.651,NaN,NaN,NaN,NaN,NaN,NaN
1841,4,-1.811,2.044,-1.211,0.689,NaN,NaN,NaN,NaN,NaN,NaN
1841,5,-1.123,1.398,-1.144,0.73,NaN,NaN,NaN,NaN,NaN,NaN
1841,6,-1.091,2.023,-1.1,0.7,NaN,NaN,NaN,NaN,NaN,NaN
1841,7,-0.299,1.674,-1.028,0.645,NaN,NaN,NaN,NaN,NaN,NaN
1841,8,-0.501,1.643,-0.969,0.623,NaN,NaN,NaN,NaN,NaN,NaN
1841,9,-1.696,1.429,-0.773,0.672,NaN,NaN,NaN,NaN,NaN,NaN
1841,10,-0.652,1.74,-0.676,0.713,NaN,NaN,NaN,NaN,NaN,NaN
1841,11,-0.981,1.675,-0.694,0.736,NaN,NaN,NaN,NaN,NaN,NaN
1841,12,-0.728,1.896,-0.685,0.666,NaN,NaN,NaN,NaN,NaN,NaN
1842,1,-0.249,1.905,-0.79,0.62,NaN,NaN,NaN,NaN,NaN,NaN
1842,2,-0.318,1.915,-0.815,0.608,NaN,NaN,NaN,NaN,NaN,NaN
1842,3,0.17,2.166,-0.807,0.602,-0.953,0.478,NaN,NaN,NaN,NaN
1842,4,-0.64,2.009,-0.868,0.607,-0.946,0.47,NaN,NaN,NaN,NaN
1842,5,-1.342,1.506,-0.878,0.66,-0.936,0.469,NaN,NaN,NaN,NaN
1842,6,-0.987,1.403,-0.781,0.724,-0.924,0.468,NaN,NaN,NaN,NaN
1842,7,-1.554,1.264,-0.704,0.747,-0.928,0.465,NaN,NaN,NaN,NaN
1842,8,-0.805,1.464,-0.625,0.76,-0.922,0.452,NaN,NaN,NaN,NaN
1842,9,-1.595,1.408,-0.753,0.72,-0.902,0.45,NaN,NaN,NaN,NaN
